2.03,0.536,3.098,0.882,-0.266,-2.576,-0.439,2.409,2.573,-1.08,-0.488,1.022,-0.31
2.04,-0.173,1.536,3.061,-0.822,-1.706,-2.227,1.472,1.466,0.246,1.032,-1.819,-1.316
2.05,-2.438,3.892,2.689,-0.087,-1.688,3.454,1.316,-3.22,-0.085,1.863,0.02,0.687
2.06,-0.291,1.929,1.242,0.012,-1.056,-1.051,-0.727,-0.024,-0.543,-0.793,-1.124,0.207
2.07,-0.615,0.069,2.617,-0.266,-0.086,-0.085,0.56,-0.136,0.212,-0.51,-1.509,-0.171
2.08,-0.101,2.8,0.749,-0.822,-1.171,-3.11,0.674,1.718,-0.37,-0.192,1.147,0.974
2.09,-2.81,1.809,3.157,0.012,-0.7,1.782,0.149,-0.024,-0.543,-1.483,-0.64,-0.805
2.1,0.188,3.089,1.549,0.251,0.606,-0.279,0.752,-0.469,0.402,-2.136,-0.791,-1.951
2.11,0.436,1.63,1.966,-0.444,-1.865,-0.085,-0.878,1.221,0.698,-0.028,-0.532,0.466
2.12,0.017,2.748,2.567,-1.222,-0.327,2.328,-0.297,0.402,0.922,-2.286,-0.44,0.556
2.13,0.595,1.622,2.3,-1.955,-1.411,0.367,1.104,-0.12,0.228,-2.282,-0.098,-0.429
2.14,-2.468,1.128,1.799,-1.955,-0.166,0.367,1.339,0.986,1.33,-0.492,-0.49,-1.152
2.15,-2.007,1.929,2.94,-1.062,-0.878,-2.643,3.204,-1.687,-0.292,-1.716,0.638,1.636
2.16,0.973,3.703,4.369,-0.524,-1.588,-1.227,1.997,0.42,-1.488,0.873,1.539,2.031
2.17,0.373,1.392,2.233,-1.518,-1.331,2.215,3.536,-2.576,0.906,-1.708,-1.368,-0.199
2.18,-2.237,0.505,1.352,-0.883,-1.233,-1.404,0.776,1.299,1.124,-0.639,0.369,1.2
2.19,-3.165,2.314,1.627,-0.939,-1.998,0.847,0.948,0.945,-0.793,-1.239,-0.565,1.928
2.2,0.22,2.091,1.57,-0.821,-0.46,0.075,0.404,-3.082,0.229,-1.477,-0.799,-0.626
2.21,-0.248,3.509,2.137,-1.338,-2.042,1.331,1.979,-1.338,0.403,-0.788,0.387,-0.112
2.22,-2.677,2.451,-0.618,-0.284,2.029,1.137,1.165,0.465,0.291,0.896,1.063,1.395
2.23,-2.154,3.149,3.308,-1.179,-0.638,0.607,1.473,1.641,0.247,2.31,-0.707,-0.369
2.24,-1.93,3.542,3.695,0.074,0.43,0.784,-1.232,-2.793,-0.006,-3.253,-1.4,0.933
2.25,1.596,2.101,2.602,-0.802,-2.752,-2.385,-0.121,-0.816,-0.118,-0.942,0.563,-2.931
2.26,-1.644,1.777,1.089,-0.864,-4.949,1.267,-0.374,-2.984,1.191,-0.023,0.647,1.309
2.27,-0.953,2.638,1.951,-0.821,-0.815,-1.517,0.265,-1.825,0.437,-0.912,-2.586,-1.916
2.28,-0.29,1.93,1.583,-0.624,1.87,-0.615,0.15,-0.023,0.325,0.312,-1.024,-1.516
2.29,-4.175,0.967,1.134,-0.821,-0.993,0.075,2.196,0.795,0.447,1.193,-0.648,1.351
2.3,0.247,2.638,2.29,-0.882,-1.055,1.428,2.506,3.017,0.229,1.828,-0.181,0.489
2.31,0.721,2.255,2.246,0.252,1.852,-0.455,0.81,-1.808,0.107,-2.64,-0.79,-0.955
2.32,-1.762,0.803,2.496,-1.418,-1.055,1.074,3.653,0.325,-0.715,-1.663,0.855,-0.143
2.33,0.681,0.165,1.184,-0.821,0.074,-1.517,-0.374,0.499,0.498,0.48,0.814,0.809
2.34,2.21,2.544,2.197,-1.715,-2.592,2.729,0.15,0.325,0.15,2.738,-0.616,-1.607
2.35,-0.576,2.671,3.001,-1.598,-0.7,-1.581,1.026,-1.766,-1.41,-1.934,-0.758,-0.425
2.36,0.377,0.376,1.226,-0.822,-2.416,-1.695,0.228,1.1,0.228,-2.159,-1.15,-0.651
2.37,2.016,3.371,1.149,-1.18,-0.638,2.375,2.017,-2.35,-0.432,0.82,0.32,0.987
2.38,-0.936,1.119,1.966,-1.062,-2.655,-1.227,1.803,-0.12,0.054,-0.285,0.888,-0.943
2.39,1.256,1.937,2.951,-0.524,-1.233,3.197,2.117,1.064,-0.324,0.625,0.12,-0.215
2.4,-0.999,1.051,2.233,-0.982,0.446,0.268,2.039,-1.627,-0.056,-1.5,0.346,-2.481
2.41,-0.173,2.049,1.533,-0.982,2.401,2.215,1.334,-3.9,0.279,-0.666,-2.169,-3.489
2.42,-1.226,1.682,1.336,-0.822,0.606,-1.695,1.569,-2.794,-0.526,-3.281,-3.271,-4.091
